"supplier_name","address","phone"
"深圳市龙呐包装设计有限公司            ","广东 深圳市 深圳市罗湖区田贝一路华丽园南座23B","13530118120"
"隐形涂料工作室                  ","广东 深圳市 深圳市南山区科技园","13723709207"
"深圳市狮王木业                  ","广东 深圳市 深圳市南山区西丽镇","13715366652"
"丰雅玩具厂                    ","广东 深圳市 笋岗504","13556874138"
"寒天冰式企业                   ","广东 深圳市 振华中路","13802565866"
"鸿海科技有限公司                 ","广东 深圳市 中信广场","13823188085"
"RAINTA; SILICONES; ENTERP","中国 广东 深圳市 宝安区55区龙腾二路33栋28号","13926547128"
"深圳市善福科技有限公司              ","中国 广东 深圳市 宝安区龙华镇人民路龙泉花园2B602","13312981073"
"深圳市惠尔益电器有限公司             ","中国 广东 深圳市 宝安区新安第二工业区","13554919039"
"honvard                  ","中国 广东 深圳市 大鹏镇第一工业区１１栋","13923461103"
"深圳市素怡精细化工有限公司            ","中国 广东 深圳市 龙岗区平湖白泥坑宝盛工业区","13556859969"
"深圳市华宏工业模型制作厂             ","中国 广东 深圳市 深圳布吉大排工业区2栋3楼","54863460"
"newsunny                 ","中国 广东 深圳市 深圳市","13901676750"
"深圳市宝安区龙华日鑫五金部            ","中国 广东 深圳市 深圳市宝安区石岩镇","57567666"
"深圳市扬鹏科技有限公司              ","中国 广东 深圳市 深圳市福田区金地工业区130栋2楼","13901611110"
"深圳市福田区冠军电子商行             ","中国 广东 深圳市 深圳市福田区新亚洲电子市场1A037a","39806132"
"深圳市泽和塑胶电子有限公司            ","中国 广东 深圳市 深圳市龙华","13761572468"
"深圳市多利行贸易有限公司             ","中国 广东 深圳市 深圳市南山","13371955901"
"深圳市龙岗区江利五金制品厂            ","中国 广东 深圳市 深圳市坪山街道田头工业区","59682375"
"儋州广泰音箱有限公司               ","中国 广东 深圳市 深圳特区","15800905589"
"金刚集团有限公司                 ","中国 河北 石家庄市 和平路","86-0311-8882825"
"中国黄金集团石湖矿业有限公司           ","中国 河北 灵寿县 陈庄镇龙门沟村","86-0311-8259310"
"河北顶大集团公司                 ","中国 河北 昌黎县 河北昌黎","86-0335-6058215"
"大宋集团                     ","中国 河北 巨鹿县 富强路","86-0319-4393669"
"信桥线缆集团                   ","中国.河北省.邢台市.宁晋县河北邢台 宁晋","86-0319-5985083"
"河北安国药业集团有限公司             ","中国.河北省.邯郸市.武安市","86-312-5550383 "
"中和集团                     ","中国 河北 保定市 裕华路","86-0312-2014169"
"河北清河袁氏集团                 ","中国 河北 清河县 武松街","86-0319-1383393"
"巨力集团                     ","中国 河北 徐水县 河北省保定","86-312-8999999 "
"常氏集团公司                   ","中国 河北 大城县 东盛大街186","86 0316 5577220"
"河北文安搏天活动房集团              ","中国 河北 文安县 小郭庄开发区","86-0316-5110422"
"安徽生力农化有限公司               ","安徽宁国市汪溪镇工业园区","0563-4308915   "
"雷泰电子有限公司                 ","蚌埠市安徽蚌埠涂山东路1566号3栋406","0552-3185328   "
"天长艳阳灯具厂                  ","安徽天长市皖天长市金集镇","0550-7916058   "
"吉林市紫云峰酒业有限责任公司           ","吉林市船营区","0432-6674611   "
"长春天和礼仪庆典演艺公司             ","吉林长春市绿园区皓月大路295号","0431-7933266   "
"大连中元塑料包装有限公司             ","辽宁大连市甘井子区","0411-84771386 8"
"南京欧力德发展实业有限公司            ","中国 江苏 南京市 洪武路359号","86-025-57910622"
"青县政峰电子机箱厂                ","中国 河北 沧州 青崇路88号","86-317-4020298 "
"保定永新塑型材有限公司              ","中国 河北 满城县 于家庄乡车站西侧","86-0312-5577988"
"青县新篷缝制设备有限责任公司           ","中国 河北 安国市 南海大街《信誉楼商厦南1公里》","86-317-4222698 "
"兴旺刹车蹄厂                   ","中国 河北 故城县 侯庄","86-0318-5335177"
"南京大众礼品有限公司               ","江苏溧水县南京市","025-574631234  "
"南京正典礼品有限公司               ","江苏南京市云南路7号2楼","025-83323211   "
"南京市山南机械刀具厂               ","江苏溧水县经济开发区","025-57278073   "
"南京中环制泵厂                  ","江苏南京市南京","025-57606221   "
"苏州云海电脑有限公司               ","江苏苏州市乌鹊桥路53-17号","0512-65207747  "
"苏州盛兴贸易有限公司               ","江苏苏州市吴中区","0512 69287261  "
"无锡锡山废旧物资有限公司             ","江苏无锡市锡山区华夏路2号","0158-52800160  "
"王杰塑料制品加工厂                ","河北 秦皇岛市 秦皇岛五里台","0335-5161337   "
"上海黎顺服装经营部                ","上海市金山区朱泾镇亭枫公路2299号3幢217号","13714108480"
"上海海毕饮用水配送服务中心            ","上海市卢湾区马当路430号102室","13530238178"
"上海置隆装饰材料经营部              ","蒲汇塘路200号二楼B室","13189763002"
"上海晓莉贸易商行                 ","上海市金山区山阳镇海光路38号2幢406室","13632515944"
"上海刘平企业登记代理事务所            ","上海市闵行区元江路5500号1号楼1490室","13631583911"
"上海三剑投资咨询有限公司             ","上海市松江区石湖荡镇松蒸公路21号204室","13266657111"
"上海欣璐企业管理咨询有限公司           ","上海市松江区新桥镇莘松路1132号1楼","13560762820"
"上海育升包装材料厂                ","宝山区塘祁路北甲118号2号厂房","13714348776"
"上海长好贸易有限公司               ","青浦区华新镇（凤溪）凤中路251号B幢102室B座","13927311908"
"上海井江机电有限公司               ","上海市奉贤区南桥镇环城北路临水路9号6幢103室","13928307880"
"上海达地机电有限公司               ","上海市奉贤区南桥镇环城北路临水路9号6幢104室","13751571729"
"上海俊亮美容美发院                ","中山西路2006号104室","13794551724"
"上海磐沛信息科技有限公司             ","青浦区胜利路539弄16号11号房A－47室","13827323156"
"上海树德园林绿化工程有限公司           ","青浦区华新镇（凤溪）凤中路251号B幢102室A座","13802294958"
"上海君显美容用品有限公司             ","上海市长宁区北渔路55号1层","13590390526"
"上海鳞光贸易有限公司               ","上海市长宁区延安西路1289弄10号501室","13682696677"
"上海知生信息技术有限公司             ","崇明县凤滨路231号210室（上海泰和经济开发区）","13510770978"
"上海轶君企业管理咨询有限公司           ","上海市崇明县城桥镇秀山路7号6幢E区302室（崇明工业园区）","13902283176"
"上海长兴海洋装备产业基地开发有限公司职工技术协会 ","上海市崇明县长兴乡潘园公路1502号22幢103室2座","13543251207"
"上海圆月广告有限公司               ","上海市闵行区剑川路951号综合业务楼3层3066室","13632923498"
"上海视盛信息科技有限公司             ","吴兴路277号11楼1115室","13724360418"
"上海晒保网络科技有限公司             ","上海市金山区吕巷镇干巷金张公路2550号1幢328室","13312975755"
"上海润尔文化传播有限公司             ","上海市崇明县新河镇新申路921弄2号D区155室（上海富盛经济开发区）","13510606908"
"上海动菱汽车服务有限公司             ","上海市闵行区金辉路725号底楼","13189778566"
"上海润鑫保健服务部                ","上海市松江区谷阳北路1470弄1号331室B","13715316393"
"上海仙海船务有限公司               ","青浦区徐泾镇沪青平公路1818号7－353室","13554936108"
"上海玉姿化妆品有限公司              ","上海市闵行区中谊路880号103乙室","13613041658"
"上海佳丝蜜企业形象策划有限公司          ","上海市静安区茂名北路190－1号","1356242573"
"上海善好机械制造厂                ","上海市金山区廊下镇友好村向化5008号","13794480482"
"上海新近粮食专业合作社              ","上海市崇明县城桥镇新闸村近海12队","13715309821"
"上海吕氏化工有限公司               ","青浦区华新镇（凤溪）凤中路251号B幢103室","13500097610"
"上海天责投资咨询有限公司             ","上海市闵行区剑川路951号综合业务楼6层6109室","13527931900"
"上海星程翻译有限公司               ","浦东新区龚路公路701号第4幢104室","13580750056"
"上海峰雪文化传播有限公司             ","上海市金山区吕巷镇干巷金张公路2550号1幢325室","13798358868"
"上海八侑餐饮管理有限公司             ","上海市物华路73号二号楼一层02室","13728285081"
"上海心与心书店                  ","上海市闵行区立跃路3889号第1幢101室","13332661910"
"上海晋年食品有限公司               ","上海市七莘路3333弄3区92号101室","13316691836"
"上海康欣日用品经营部               ","上海市闵行区立跃路2986弄18号第6幢","13924586604"
"上海易圆贸易有限公司               ","上海市奉贤区柘林镇孙桥村八组","13238314489"
"上海杨进文化艺术传播有限公司           ","上海市奉贤区柘林镇孙桥村8组","13825771756"
"上海宝峰装潢设计经营部              ","宝山区罗溪路713号","13713858014"
"上海钻智生物科技有限公司             ","上海市松江区新浜镇新许路155号第7幢119室","13238318119"
"上海德准建筑装潢设计有限公司           ","青浦区白鹤镇鹤祥路1号491","13723793469"
"上海吉成川模具配件经营部             ","上海市金山区张堰镇松金公路2758号15幢206室","13926510910"
"上海仪腾电子科技有限公司             ","上海市奉贤区柘林镇窑桥村一组","13929459214"
"上海达世物流有限公司               ","上海市海宁路137号5楼518室","13554955362"
"上海励致信息技术有限公司             ","青浦区外青松公路7548弄588号1号楼292室","13392725859"
"上海昂冉建材经营部                ","上海市松江区洞泾镇沪松公路3029号305室","13392725859"
"上海晨冬商贸有限公司               ","肇嘉浜路446弄2号306室","13510179845"
"上海丰申木材经营部                ","上海市奉贤区庄行镇大叶公路2675号2幢101室","13530448128"
"上海昂赛装饰材料厂                ","青浦区白鹤镇鹤联村鹤星149号第5幢1号","13798559817"
"上海新练塘投资管理有限公司            ","青浦区练塘镇朱枫公路3424号255室","13632680756"
"上海海贸信息科技发展有限公司           ","嘉定区嘉新公路1065号1幢123室","13714863946"
"上海鑫灵商务咨询服务部              ","上海市金山区张堰镇解放街西河沿35号7幢","13731656448"
"上海牛牛企业管理咨询有限公司           ","上海市松江区石湖荡镇松蒸公路21号203室","13554798243"
"上海帕特农信息技术有限公司            ","桂平路680号33幢303－38室","13794815753"
"上海智果商务咨询有限公司             ","青浦区盈港东路8300弄6－7号373室","13923774006"
"上海树盛商贸有限公司               ","上海市金山区枫泾镇新兴路879号4幢120室","13636998861"
"上海端柳贸易有限公司               ","上海市金山区张堰镇解放街西河沿35号49幢","13924595158"
"上海高丘商贸有限公司               ","上海市静安区余姚路28号4幢402室","13554955637"
"上海艾茵精密仪器科技有限公司           ","中山西路2006号1幢814室","13631557582"
"上海旗远运输服务部                ","上海市金山区张堰镇东大街4号1幢209室","13902690552"
"上海骏业知识产权代理有限公司           ","上海市海伦路160号1幢430室","13510714592"
"上海华顶木业有限公司               ","上海市杨浦区平凉路1055号E6－10室","13392170559"
"上海瑞鹰服饰有限公司               ","上海市金山区张堰镇松金公路2758号16幢底层","13590398200"
"上海宇乐实业有限公司               ","上海市金山区枫泾镇新兴路879号4幢207室","13684959930"
"上海剑立塑业有限公司               ","上海市金山区张堰镇松金公路2758号7幢","13751188273"
"上海丹佛美术设计工作室              ","上海市金山区亭林镇金展路2229号4号楼393室","13532732986"
"上海东惠市政安装工程部              ","上海市金山区张堰镇东大街4号楼210室","13662616172"
"上海力强水泥制品厂                ","上海市金山区金山卫镇永联村华创路500号","13712594503"
"上海铂蓝信息科技有限公司             ","上海市崇明县城桥镇秀山路101号12幢A区5103室（崇明工业园区）","13632937735"
"上海善言投资顾问有限公司             ","崇明县建设公路1357号1幢114室（上海建设经济小区）","13189778566"
"上海瀚瑾商务咨询有限公司             ","上海市崇明县城桥镇秀山路7号6幢E区304室（崇明工业园区）","13537690746"
"上海帝翔信息技术有限公司             ","上海市金山区亭林镇林宝路39号5幢223室","13715103317"
"上海黄可投资管理有限公司             ","青浦区朱家角镇沪青平公路6335号7幢544","13725522504"
"上海锦桢实业有限公司               ","上海市奉贤区青村镇南奉公路385号8幢2车间","13713905578"
"上海皇嘉广告有限公司               ","上海市崇明县城桥镇东门路181号5幢303室（崇明现代农业园区）","13714022300"
"上海型格广告有限公司               ","上海市崇明县城桥镇新闸路48号31幢214室","13713843207"
"上海寒武纪文化传播有限公司            ","上海市闵行区莘松路850弄180号2幢2091室","13923302007"
"上海言殳建筑设计有限公司             ","上海市闵行区古美路457号一层1118室","13620888899"
"上海复扬电子有限公司               ","上海市金山区吕巷镇干巷荣昌路318号2幢106室","13267148920"
"上海龙福电子科技有限公司             ","上海市闵行区沪青平公路206弄8号1幢3楼357室","13316539220"
"上海飞蔚贸易有限公司               ","青浦区华纺路69号229室","13823521144"
"上海美扬实业有限公司               ","肇嘉浜路825号2号楼3楼E座","13928422270"
"上海贝马物资有限公司               ","宝山区长逸路88号405室","13715441396"
"上海尚乾体育管理咨询有限公司           ","上海市金山区吕巷镇干巷金张公路2550号1幢107室","13825582637"
"上海勤坤通讯设备有限公司             ","上海市金山区吕巷镇干巷金张公路2550号1幢106室","13189778566"
"上海佳莺贸易有限公司               ","上海市金山区吕巷镇干巷金张公路2550号1幢104室","13332932318"
"上海天晷信息科技有限公司             ","上海市崇明县城桥镇鳌山路附2号6幢401室－2（崇明森林旅游园区）","13226661903"
"上海同璟图文设计制作有限公司           ","上海市崇明县城桥镇鳌山路附2号7幢103室－3（崇明森林旅游园区）","13600161998"
"上海世印信息科技服务有限公司           ","崇明县堡镇大通路407号1幢131室（上海堡镇工业区）","13266721822"
"上海绿哲商务咨询有限公司             ","崇明县建设镇富安村521号4号楼304室（上海建设经济小区）","13823112364"
"上海天屹办公家具有限公司             ","上海市金山区吕巷镇干巷荣昌路318号2幢102室","13751071195"
"上海可美企业管理有限公司             ","上海市崇明县城桥镇新闸路48号31幢113室","13715258004"
"上海定奥广告有限公司               ","上海市崇明县城桥镇新闸路48号31幢304室","13924622323"
"上海助盟信息科技有限公司             ","嘉定区宝安公路2968号4幢220室","13828734821"
"上海莱亲贸易有限公司               ","上海市奉贤区奉城镇南奉公路255号5幢101室","13537679051"
"上海风豹电动车经营部               ","上海市奉贤区庄行镇浦卫公路1618弄20号","13922858180"
"上海境天机械设备安装有限公司           ","青浦区重固镇新丰中路458号B幢124室","13823439158"
"上海颢晨汽车设计有限公司             ","上海市奉贤区四团镇邵厂社区富民路20号210室","13510598670"
"上海歆龙标识有限公司               ","嘉定区马陆镇丰登路1028弄6号517室","13825264803"
"上海森品电子科技有限公司             ","上海市金山区吕巷镇干巷金张公路2550号1幢102室","13728717348"
"上海景联物业管理有限公司             ","嘉定区沪宜公路2764号204室","13356127757"
"上海雅伦企业管理咨询有限公司           ","上海市闵行区元江路5500号1号楼1400室","13682270235"
"上海优朋数码科技有限公司             ","上海市金山区亭林镇金展路2229号4号楼376室","13268363636"
"上海晟喆服饰有限公司               ","上海市奉贤区望园路2118号102室","13751778483"
"上海久鸣装潢有限公司               ","嘉定区菊园小区胜竹路2192号","13510575249"
"上海复星亭林大药房                ","上海市金山区亭林镇复兴东路48号","13631535726"
"上海翔体服饰有限公司               ","上海市奉贤区望园路2118号101室","13714757644"
"上海天傲商务咨询有限公司             ","上海市中山北一路9号1幢222室","13316908738"
"上海阳途信息科技有限公司             ","上海市金山区亭林镇林宝路39号5幢234室","13560194568"
"上海莲智木业有限公司               ","上海市闵行区三鲁公路719弄56号1幢302室A座","13692133877"
"上海卡胜电子科技有限公司             ","上海市闵行区金都路1128号3幢2113室","13802580654"
"上海联睿文化传播有限公司             ","上海市金山区亭林镇林宝路39号5幢132室","13392850068"
"上海恒逾仪器有限公司               ","上海市闵行区金都路1128号3幢2111室","13510458565"
"上海云驰汽车租赁有限公司             ","上海市奉贤区新奉公路6328号精品大楼A19－A20","13670106369"
"上海霓胜电子科技有限公司             ","上海市奉贤区望园路2113号202室","13265604773"
"上海齐裕金属材料经营部              ","青浦区练塘镇练新路7号A024室","13556896176"
"上海喜旋实业有限公司               ","上海市金山区枫泾镇泾商路99弄2279号206室","13242914004"
"上海展朋贸易有限公司               ","上海市广中路444号13幢402室","13928499362"
"上海逸顺装饰设计有限公司             ","上海市金山区亭林镇金展路2229号4号楼383室","13794480482"
"上海尚贵商贸有限公司               ","上海市金山区漕泾镇古岗路1200号3幢110室","13710992830"
"上海惠忠贸易有限公司               ","上海市金山区枫泾镇泾商路99弄2228号209室","13679180391"
"上海财香商贸有限公司               ","上海市金山区枫泾镇泾商路99弄3176号210室","13510678055"
"上海品创展览展示服务有限公司           ","上海市金山区亭林镇金展路2229号4号楼373室","13714901028"
"上海古都装饰设计有限公司             ","上海市金山区朱泾镇亭枫公路2299号3幢213号","13268363636"
"上海昆润化工有限公司               ","上海市金山区朱泾镇大茫6012号1号楼111室","13650884663"
"上海递丰快递服务有限公司             ","上海市金山区枫泾镇泾商路99弄3076号209室","13631433259"
"上海鹤图计算机软件有限公司            ","上海市金山区山阳镇东方村2078号1幢","15918444021"
"上海峥奇软件有限公司               ","上海市金山区枫泾镇新兴路879号4幢104室","13684921009"
"上海璞工电气有限公司               ","上海市嘉定区嘉定镇西大街172弄10号3幢210室","13714199890"
"上海期乐粮食专业合作社              ","上海市崇明县三星镇永安村","13189778566"
"上海缔昌塑料有限公司               ","上海市金山区金山卫镇张桥村3182号","13689599506"
"上海思律副食品销售有限公司            ","上海市长宁区福泉路218号2楼北侧","13516681087"
"上海灏然金属制品有限公司             ","青浦区青安路887号51室","13828707846"
"上海省文贸易有限公司               ","上海市崇明县城桥镇东门路181号1幢103室（崇明现代农业园区）","13631646805"
"上海引玉经贸发展有限公司             ","嘉定区宝安公路2948号2幢201室","13531711307"
"上海碧合建材厂                  ","上海市奉贤区四团镇金洋村321号","13631996977"
"上海雷允上松嘉药店                ","青浦区嘉松中路4188弄285－287号","13824309446"
"上海万贡环保科技发展有限公司           ","上海市闵行区剑川路951号综合业务楼6层6140室","13680894975"
"上海燕东寄售服务有限公司             ","上海市黄浦区宁海东路244号－248号","13809665324"
"上海为图实业有限公司               ","上海市金山区亭林镇金展路2229号4号楼368室","13829902874"
"上海何帅建筑安装有限公司             ","嘉定区嘉新公路1065号1幢117室","13510037662"
"上海永传广告事务所                ","上海市金山区张堰镇松金公路2758号15幢202室","13902620877"
"上海世奉无纺布制品厂               ","上海市奉贤区青村镇奉柘公路2789号34幢2车间","13825481861"
"上海旋天玻璃制品厂                ","上海市奉贤区青村镇丁夏村1410号","13189778566"
"上海全晋酒店管理有限公司             ","上海市张江高科技园区碧波路635号102－1F16室","13715283872"
"上海云雀软件科技有限公司             ","上海市崇明县新河镇新申路829号5室（上海富盛经济开发区）","13630402553"
"上海译谷翻译有限公司               ","上海市崇明县城桥镇秀山路101号12幢A区5116室（崇明工业园区）","13189778566"
"上海聿晟装饰设计工程有限公司           ","上海市崇明县城桥镇新闸路48号31幢301室","13510795553"
"上海挚诚轮胎贸易有限公司             ","宝山区月罗路120号17－20室","13824360585"
"上海赛金物流有限公司               ","上海市崇明县城桥镇三沙洪路97号11幢203室","13189778566"
"上海企发物流有限公司               ","上海市崇明县堡镇镇新港路165号4幢310室","13510512329"
"上海生庆物流有限公司               ","崇明县北沿公路2405号206室（上海津桥经济开发区）","13802553083"
"上海硕辉贸易有限公司               ","上海市金山区枫泾镇泾商路99弄2215号305室","13684987769"
"上海品创物流有限公司               ","上海市崇明县建设镇效东村1309号1幢110室（上海建设经济小区）","13794478252"
"上海巨潮建筑装潢经营部              ","上海市奉贤区庄行镇新光村5队","13189778566"
"上海二宝电子科技有限公司             ","上海市金山区亭林镇金展路2229号4号楼372室","13502820253"
"上海馨莱工业设备有限公司             ","上海市金山区亭林镇林宝路39号5幢130室","13189778566"
"上海百起贸易有限公司               ","上海市中山北路53号底层","13715321896"
"上海定度多商贸有限公司              ","青浦区青赵公路1790号3号楼242室","13802569762"
"上海奕仝通信工程有限公司             ","上海市金山区亭林镇金展路2229号4号楼387室","13590111238"
"上海智煜纺织品厂                 ","上海市金山区漕泾镇朱漕公路3001号7幢","13760190771"
